,state_abbr,unemployment,year,Population,violent total,Murder,rape,Robbery,Aggravated assault,property total,Burglary,Larceny theft,vehicle theft,State
0,AK,7.608,1976,382000,540.1,11.3,46.9,124.9,357.1,5680.6,1218.1,3656.8,805.8,Alaska
1,AK,9.875,1977,407000,443.2,10.8,51.6,96.8,284.0,5454.8,1331.7,3369.8,753.3,Alaska
2,AK,10.683,1978,403000,441.9,12.9,55.6,91.3,282.1,5604.2,1339.2,3603.5,661.5,Alaska
3,AK,9.317,1979,406000,491.1,13.3,71.9,109.6,296.3,5712.6,1383.3,3713.3,616.0,Alaska
4,AK,9.625,1980,440142,436.0,8.9,56.8,81.8,288.5,5209.7,1259.8,3388.9,561.0,Alaska
5,AK,9.383,1981,412000,615.8,14.6,102.2,114.6,384.5,5979.1,1329.9,3958.7,690.5,Alaska
6,AK,9.942,1982,438000,623.7,18.5,85.4,133.8,386.1,5588.8,1188.1,3806.4,594.3,Alaska
7,AK,9.975,1983,479000,613.8,13.8,101.5,97.1,401.5,5404.8,1194.2,3566.8,643.8,Alaska
8,AK,9.867,1984,500000,621.6,11.6,91.6,109.4,409.0,5493.6,1236.8,3628.0,628.8,Alaska
9,AK,9.717,1985,521000,581.8,9.8,77.2,92.9,401.9,5295.2,1191.7,3497.1,606.3,Alaska
10,AK,10.95,1986,534000,570.4,8.6,72.7,88.0,401.1,5675.5,1161.8,3909.9,603.7,Alaska
11,AK,10.283,1987,525000,455.4,10.1,65.0,73.1,307.2,4922.1,970.1,3465.7,486.3,Alaska
12,AK,8.808,1988,513000,522.8,5.7,57.7,72.9,386.5,4398.8,842.3,3101.6,455.0,Alaska
13,AK,7.0329999999999995,1989,527000,497.7,8.0,52.9,67.6,369.3,4282.2,826.9,3000.2,455.0,Alaska
14,AK,7.242000000000001,1990,550043,524.5,7.5,72.9,76.7,367.4,4628.2,894.3,3168.5,565.4,Alaska
15,AK,8.475,1991,570000,613.9,7.4,91.8,113.2,401.6,5087.7,979.3,3574.6,533.9,Alaska
16,AK,8.933,1992,587000,660.5,7.5,98.6,109.0,445.3,4909.0,880.7,3531.2,497.1,Alaska
17,AK,7.692,1993,599000,760.8,9.0,83.8,122.4,545.6,4807.2,816.9,3539.4,450.9,Alaska
18,AK,7.608,1994,606000,766.3,6.3,69.0,146.2,544.9,4941.7,800.0,3601.3,540.4,Alaska
19,AK,7.325,1995,604000,770.9,9.1,80.3,155.1,526.3,4982.9,836.9,3624.3,521.7,Alaska
20,AK,7.608,1996,607000,727.7,7.4,65.6,117.0,537.7,4722.7,843.2,3386.7,492.9,Alaska
21,AK,7.15,1997,609000,701.1,8.9,66.2,106.4,519.7,4571.4,702.1,3412.2,457.1,Alaska
22,AK,6.358,1998,614000,653.9,6.7,68.6,86.6,492.0,4123.1,667.4,3031.1,424.6,Alaska
23,AK,6.475,1999,619500,630.8,8.4,83.5,91.4,447.6,3728.7,611.3,2688.3,429.1,Alaska
24,AK,6.375,2000,626932,566.9,4.3,79.3,78.2,405.1,3682.5,621.9,2685.8,374.8,Alaska
25,AK,6.433,2001,633630,589.5,6.2,79.1,81.1,423.1,3655.1,607.1,2634.8,413.2,Alaska
26,AK,7.292000000000001,2002,641482,565.4,5.1,79.7,76.2,404.4,3759.7,609.2,2765.3,385.2,Alaska
27,AK,7.825,2003,648280,598.0,6.0,93.3,68.8,429.9,3761.6,597.6,2784.4,379.6,Alaska
28,AK,7.457999999999999,2004,657755,632.3,5.6,84.8,68.0,473.9,3370.9,573.6,2456.7,340.6,Alaska
29,AK,6.882999999999999,2005,663253,632.0,4.8,81.1,81.0,465.4,3615.0,622.8,2601.0,391.0,Alaska
30,AK,6.617000000000001,2006,670053,688.0,5.4,76.4,89.5,516.7,3578.1,620.1,2579.5,378.5,Alaska
31,AK,6.332999999999999,2007,683478,661.3,6.3,79.7,85.0,490.3,3379.2,546.3,2476.9,356.0,Alaska
32,AK,6.692,2008,686293,652.1,3.9,65.1,94.0,489.0,2927.3,471.7,2218.4,237.2,Alaska
33,AK,7.742000000000001,2009,698473,633.4,3.1,73.4,93.6,463.2,2940.4,515.4,2183.5,241.5,Alaska
34,AK,7.882999999999999,2010,714146,635.3,4.3,74.6,83.2,473.2,2836.8,434.8,2175.3,226.7,Alaska
35,AK,7.5920000000000005,2011,723860,610.1,4.1,60.2,79.6,466.1,2637.8,394.0,2052.1,191.7,Alaska
36,AK,7.142,2012,730307,604.1,4.1,79.8,86.3,433.9,2743.6,403.9,2131.3,208.4,Alaska
37,AK,6.992000000000001,2013,737259,638.7,4.6,89.1,84.5,424.1,2877.0,395.7,2251.4,229.9,Alaska
38,AK,6.875,2014,736732,635.8,5.6,75.3,85.4,440.2,2760.0,427.6,2096.4,236.0,Alaska
39,AL,6.808,1976,3665000,388.8,15.1,21.7,96.0,256.0,3419.5,1170.0,1987.2,262.3,Alabama
40,AL,7.325,1977,3690000,414.4,14.2,25.2,96.8,278.3,3298.2,1135.5,1881.9,280.7,Alabama
41,AL,6.38,1978,3742000,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5,Alabama
42,AL,7.1579999999999995,1979,3769000,413.3,13.2,27.5,109.5,263.1,3830.5,1287.3,2223.2,320.1,Alabama
43,AL,8.867,1980,3861466,448.5,13.2,30.0,132.1,273.2,4485.1,1526.7,2642.2,316.2,Alabama
44,AL,10.542,1981,3916000,470.5,11.9,26.1,126.5,306.1,4428.3,1450.7,2693.3,284.2,Alabama
45,AL,14.1,1982,3943000,447.7,10.6,26.0,112.0,299.1,4185.8,1256.2,2656.4,273.3,Alabama
46,AL,13.808,1983,3959000,416.0,9.2,23.5,98.4,284.9,3685.0,1073.1,2381.4,230.5,Alabama
47,AL,11.008,1984,3990000,431.2,9.4,25.1,96.1,300.6,3470.9,1001.8,2235.5,233.6,Alabama
48,AL,9.167,1985,4021000,457.5,9.8,26.8,105.4,315.5,3484.6,1034.9,2191.2,258.5,Alabama
49,AL,9.7,1986,4053000,558.0,10.1,28.4,111.6,407.9,3730.3,1159.0,2304.4,267.0,Alabama
50,AL,8.083,1987,4083000,559.2,9.3,27.8,112.2,409.9,3892.2,1198.3,2431.1,262.8,Alabama
51,AL,7.207999999999999,1988,4127000,558.6,9.9,29.8,117.8,401.2,4003.1,1233.8,2502.6,266.7,Alabama
52,AL,7.042000000000001,1989,4118000,590.8,10.2,31.0,133.9,415.7,4037.0,1146.8,2592.8,297.5,Alabama
53,AL,6.767,1990,4040587,708.6,11.6,32.6,143.7,520.7,4206.7,1103.4,2755.4,347.8,Alabama
54,AL,7.3420000000000005,1991,4089000,844.2,11.5,35.6,152.8,644.4,4521.4,1268.6,2889.5,363.4,Alabama
55,AL,7.567,1992,4136000,871.7,11.0,41.2,164.9,654.6,4396.4,1186.0,2848.2,362.3,Alabama
56,AL,7.332999999999999,1993,4187000,780.4,11.6,35.1,159.5,574.3,4098.4,1088.6,2672.0,337.8,Alabama
57,AL,6.2170000000000005,1994,4219000,683.7,11.9,35.2,171.2,465.3,4219.4,1044.4,2843.1,331.8,Alabama
58,AL,5.975,1995,4253000,632.4,11.2,31.7,185.8,403.7,4215.7,1024.8,2844.3,346.6,Alabama
59,AL,5.233,1996,4273000,565.4,10.0,33.0,167.0,356.0,4254.7,1002.1,2886.7,366.0,Alabama
60,AL,4.992,1997,4319000,564.5,9.9,32.3,160.5,361.8,4325.3,1013.8,2954.8,356.7,Alabama
61,AL,4.408,1998,4352000,512.1,8.1,33.2,130.9,339.9,4085.0,964.3,2779.0,341.7,Alabama
62,AL,4.7330000000000005,1999,4369862,490.2,7.9,34.6,121.2,326.5,3922.3,884.4,2737.3,300.6,Alabama
